16,16,0.01
32,32,0.04
48,48,0.08
64,64,0.15
80,80,0.21
96,96,0.25
112,112,0.34
128,128,0.42
144,144,0.48
160,160,0.55
176,176,0.60
192,192,0.66
208,208,0.71
224,224,0.78
240,240,0.84
256,256,0.67
272,272,0.86
288,288,0.89
304,304,0.92
320,320,0.96
336,336,1.03
352,352,0.88
368,368,1.10
384,384,0.98
400,400,1.13
416,416,1.06
432,432,1.02
448,448,1.12
464,464,0.97
480,480,0.91
496,496,1.16
512,512,1.27
528,528,1.28
544,544,1.10
560,560,1.33
576,576,1.36
592,592,1.32
608,608,1.15
624,624,1.16
640,640,1.27
656,656,1.33
672,672,1.49
688,688,1.32
704,704,1.26
720,720,1.55
736,736,1.25
752,752,0.90
768,768,1.33
784,784,0.54
800,800,1.64
816,816,1.41
832,832,1.44
848,848,1.34
864,864,1.18
880,880,1.44
896,896,1.48
912,912,1.64
928,928,1.28
944,944,1.42
960,960,1.61
976,976,1.08
992,992,1.34
1008,1008,1.41

