16,16,0.224266
32,32,0.897065
48,48,2.0184
64,64,3.58826
80,80,5.60666
96,96,8.07359
112,112,10.9411
128,128,14.2904
144,144,18.1656
160,160,22.4266
176,176,27.2556
192,192,32.2943
208,208,37.901
224,224,44.1496
240,240,50.6819
256,256,57.6648
272,272,64.813
288,288,72.982
304,304,80.9601
320,320,89.7065
336,336,98.4701
352,352,108.545
368,368,119.159
384,384,129.177
400,400,139.555
416,416,152.271
432,432,162.07
448,448,175.825
464,464,189.438
480,480,201.84
496,496,214.58
512,512,228.647
528,528,244.226
544,544,258.121
560,560,274.726
576,576,291.928
592,592,308.371
608,608,323.841
624,624,341.109
640,640,357.261
656,656,380.492
672,672,397.346
688,688,416.493
704,704,432.286
720,720,454.139
736,736,478.741
752,752,497.584
768,768,516.71
784,784,536.115
800,800,563.132
816,816,585.883
832,832,606.416
848,848,627.217
864,864,653.961
880,880,681.39
896,896,706.393
912,912,725.464
928,928,754.432
944,944,780.671
960,960,810.911
976,976,830.856
992,992,858.32
1008,1008,890.113

