16,16,2.56
32,32,1.81
48,48,2.03
64,64,1.94
80,80,1.82
96,96,1.78
112,112,1.73
128,128,1.67
144,144,1.69
160,160,1.66
176,176,1.66
192,192,1.62
208,208,1.64
224,224,1.62
240,240,1.62
256,256,1.59
272,272,1.59
288,288,1.58
304,304,1.59
320,320,1.57
336,336,1.58
352,352,1.56
368,368,1.57
384,384,1.56
400,400,1.55
416,416,1.56
432,432,1.56
448,448,1.54
464,464,1.50
480,480,1.53
496,496,1.54
512,512,0.56
528,528,1.54
544,544,1.55
560,560,1.55
576,576,1.54
592,592,1.54
608,608,1.53
624,624,1.53
640,640,1.49
656,656,1.52
672,672,1.48
688,688,1.50
704,704,1.46
720,720,1.49
736,736,1.39
752,752,1.41
768,768,0.93
784,784,1.46
800,800,1.29
816,816,1.37
832,832,1.27
848,848,1.30
864,864,1.25
880,880,1.28
896,896,1.25
912,912,1.22
928,928,1.21
944,944,1.15
960,960,1.17
976,976,1.13
992,992,1.14
1008,1008,1.15

