16,16,0.465032
32,32,1.89454
48,48,4.26272
64,64,7.72102
80,80,12.1673
96,96,17.0509
112,112,18.5562
128,128,27.0586
144,144,38.7227
160,160,47.8058
176,176,50.2857
192,192,67.5165
208,208,81.5533
224,224,91.0635
240,240,109.61
256,256,123.536
272,272,136.754
288,288,152.051
304,304,172.579
320,320,191.223
336,336,210.627
352,352,191.95
368,368,245.779
384,384,270.313
400,400,295.749
416,416,329.004
432,432,348.504
448,448,364.254
464,464,405.836
480,480,425.878
496,496,459.414
512,512,471.906
528,528,400.552
544,544,552.635
560,560,585.621
576,576,618.985
592,592,654.461
608,608,677.661
624,624,727.126
640,640,764.893
656,656,774.682
672,672,798.557
688,688,883.104
704,704,924.657
720,720,967.164
736,736,1020.14
752,752,1086.46
768,768,1081.25
784,784,1146.75
800,800,1182.99
816,816,1255.15
832,832,1304.85
848,848,1368.42
864,864,1381.12
880,880,1473.64
896,896,1497.79
912,912,1551.76
928,928,1593.31
944,944,1280.37
960,960,1644.25
976,976,1828.36
992,992,1803.97
1008,1008,1933.52

